t,v_cmd,v_meas
0.080148,0.300000,0.645290
0.100021,0.302820,0.643083
0.120060,0.305685,0.640532
0.140024,0.308530,0.636610
0.160023,0.311385,0.632384
0.180551,0.314389,0.628148
0.200034,0.317101,0.623777
0.220087,0.319971,0.620365
0.240034,0.322811,0.616810
0.260067,0.325675,0.613714
0.280096,0.328538,0.611506
0.300866,0.331611,0.610183
0.320034,0.334239,0.609378
0.340029,0.337092,0.608240
0.360048,0.339952,0.606685
0.380123,0.342828,0.605034
0.400033,0.345658,0.603560
0.420046,0.348517,0.602423
0.440028,0.351367,0.600995
0.460046,0.354226,0.599395
0.480066,0.357087,0.597816
0.500054,0.359939,0.596287
0.520046,0.362791,0.594454
0.540029,0.365641,0.591359
0.560031,0.368496,0.587403
0.580055,0.371358,0.583444
0.600076,0.374219,0.578989
0.620083,0.377076,0.574380
0.640028,0.379915,0.568131
0.660082,0.382785,0.560849
0.680206,0.385675,0.554276
0.700079,0.388494,0.548925
0.720087,0.391351,0.544852
0.740023,0.394188,0.541443
0.760079,0.397059,0.538524
0.781032,0.400185,0.536022
0.800062,0.402776,0.533754
0.820084,0.405637,0.531812
0.840038,0.408479,0.529686
0.860046,0.411336,0.527637
0.880270,0.414254,0.526063
0.900053,0.417048,0.525195
0.920078,0.419910,0.525330
0.940029,0.422752,0.525292
0.960040,0.425610,0.525330
0.980863,0.428698,0.526125
1.000054,0.431332,0.528003
1.020040,0.434183,0.531541
1.040068,0.437045,0.536140
1.060073,0.439902,0.541847
1.080077,0.442758,0.548468
1.100035,0.445601,0.554685
1.120028,0.448454,0.560515
1.140029,0.451309,0.566036
1.160030,0.454164,0.572066
1.180085,0.457034,0.578275
1.200039,0.459876,0.583004
1.220073,0.462741,0.586029
1.240027,0.465583,0.587038
1.260031,0.468439,0.586848
1.281342,0.471670,0.585512
1.300033,0.474171,0.583028
1.320130,0.477053,0.580248
1.340028,0.479880,0.577315
1.360031,0.482736,0.574864
1.380085,0.485606,0.573023
1.400034,0.488446,0.571456
1.420035,0.491301,0.570342
1.440025,0.494153,0.568935
1.460046,0.497014,0.567856
1.480080,0.499879,0.567564
1.500154,0.502754,0.568172
1.520029,0.505574,0.569782
1.540028,0.508429,0.571114
1.560033,0.511285,0.572483
1.580057,0.514147,0.574261
1.600697,0.517182,0.575724
1.620088,0.519870,0.576553
1.640048,0.522714,0.575689
1.660043,0.525567,0.573944
1.680053,0.528425,0.571154
1.700056,0.531281,0.567773
1.720131,0.534157,0.563841
1.740035,0.536985,0.559051
1.760031,0.539838,0.555404
1.780075,0.542705,0.552655
1.800027,0.545547,0.551011
1.820245,0.548463,0.550197
1.840066,0.551268,0.549525
1.860026,0.554112,0.548599
1.880030,0.556968,0.547048
1.900032,0.559823,0.544640
1.920025,0.562676,0.542044
1.940150,0.565566,0.538612
1.960116,0.568412,0.533205
1.980097,0.571261,0.527471
2.000031,0.574097,0.520590
2.020034,0.576953,0.514713
2.040223,0.579861,0.507046
2.060224,0.582716,0.499156
2.080268,0.585583,0.491125
2.100074,0.588385,0.483106
2.120040,0.591230,0.477435
2.140021,0.594079,0.472868
2.160062,0.596946,0.469951
2.180023,0.599790,0.468615
2.200269,0.602713,0.468337
2.220110,0.605524,0.468682
2.240018,0.608354,0.469057
2.260019,0.611209,0.469312
2.280029,0.614066,0.468602
2.300059,0.616930,0.467170
2.320035,0.619778,0.465996
2.340036,0.622633,0.465446
2.360782,0.625699,0.465160
2.380015,0.628344,0.464934
2.400005,0.631196,0.466012
2.420032,0.634059,0.468020
2.440028,0.636913,0.470834
2.460034,0.639769,0.474015
2.480026,0.642622,0.477150
2.500018,0.645474,0.481250
2.520057,0.648340,0.486537
2.540062,0.651196,0.491650
2.560027,0.654041,0.496283
2.580027,0.656896,0.500279
2.600023,0.659750,0.504057
2.620033,0.662608,0.507463
2.640061,0.665471,0.510061
2.660051,0.668323,0.512083
2.680167,0.671210,0.513617
2.700021,0.674024,0.516024
2.720000,0.676873,0.520127
2.740019,0.679734,0.523009
2.760162,0.682628,0.525924
2.780030,0.685446,0.528857
2.800026,0.688300,0.532161
2.820024,0.691154,0.535624
2.840003,0.694004,0.538089
2.860013,0.696861,0.539557
2.880052,0.699727,0.541000
2.900020,0.702573,0.542012
2.920006,0.705424,0.542614
2.940002,0.708278,0.542994
2.960013,0.711136,0.544100
2.980285,0.714067,0.546162
3.000018,0.716848,0.548677
3.020051,0.719712,0.550830
3.040017,0.722557,0.552623
3.060013,0.725411,0.554669
3.080191,0.728316,0.557414
3.100022,0.731124,0.560590
3.120006,0.733974,0.563917
3.140003,0.736828,0.567594
3.160047,0.739695,0.571902
3.180021,0.742543,0.576336
3.200002,0.745393,0.580029
3.220019,0.748252,0.582534
3.240002,0.751102,0.584117
3.260003,0.753958,0.586073
3.280020,0.756817,0.588027
3.300088,0.759691,0.589442
3.320014,0.762525,0.590178
3.340002,0.765377,0.590237
3.360012,0.768235,0.590455
3.380030,0.771094,0.590477
3.400001,0.773941,0.590024
3.420017,0.776800,0.589419
3.440000,0.779651,0.588745
3.460013,0.782509,0.588387
3.480453,0.785488,0.588187
3.499996,0.788217,0.588109
3.520003,0.791074,0.588282
3.539996,0.793926,0.587881
3.560001,0.796783,0.587347
3.580016,0.799642,0.586559
3.599993,0.802490,0.584984
3.619999,0.805347,0.583765
3.639992,0.808200,0.581872
3.660015,0.811061,0.579202
3.679996,0.813911,0.575729
3.699996,0.816766,0.571450
3.720013,0.819625,0.567472
3.739995,0.822475,0.563430
3.760184,0.825383,0.560162
3.779993,0.828185,0.557028
3.799997,0.831041,0.554614
3.820042,0.833908,0.553243
3.840000,0.836751,0.552693
3.860188,0.839659,0.553361
3.879995,0.842460,0.554486
3.900040,0.845327,0.555985
3.919997,0.848170,0.558130
3.939991,0.851024,0.559830
3.960784,0.854103,0.560951
3.980036,0.856754,0.561784
3.999993,0.859596,0.562698
4.019995,0.862452,0.563412
4.039991,0.865306,0.563300
4.060147,0.868204,0.563332
4.079989,0.871015,0.564166
4.099992,0.873871,0.565298
4.119989,0.876725,0.566589
4.140073,0.879603,0.567929
4.159980,0.882432,0.570338
4.180041,0.885304,0.573076
4.199986,0.888144,0.575730
4.220003,0.891003,0.578185
4.240018,0.893862,0.580646
4.259990,0.896709,0.583262
4.279990,0.899564,0.585210
4.300003,0.902423,0.586667
4.320042,0.905289,0.587917
